X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3117344.220048666000366,1457074.280056357383728,1,Austin's American Grill,100 West Mountain,Hotel-Restaurant,3001
3116870.209840223193169,1454297.319733768701553,2,Avogadro's Number,605 South Mason,Hotel-Restaurant,3002
3117130.990160465240479,1453856.04994136095047,3,B&B'S Pickle Barrel,122-124 West Laurel,Hotel-Restaurant,3003
3117341.880480661988258,1457805.399657040834427,4,Beau Jo's Pizza,205 North College Avenue,Hotel-Restaurant,3004
3112138.310187816619873,1457124.019784405827522,5,Beavers Supermarket No. 3,1100 West Mountain,Fermented Malt Beverage (off-premises),3005
3117616.230336919426918,1456768.099240064620972,6,Bisetti's Italian Restaurant,120 South College Avenue,Hotel-Restaurant,3006
3118359.48048160970211,1465720.649568408727646,7,Bullfrog Wine & Spirits,1820 North College Avenue,Retail Liquor Store,3008
3110803.953930586576462,1452153.652099773287773,8,Campus West Liquor Depot,1107 City Park Avenue,Retail Liquor Store,3012
3117313.500288635492325,1454233.339877709746361,9,Canino's Italian Restaurant,613 South College Avenue,Beer and Wine,3013
3117019.450352370738983,1438242.890550822019577,10,Midtown Arts Center,3750 South Mason Street,Lodging & Entertainment,3014
3118390.600497648119926,1441126.370025500655174,11,"Chesterfield, Bottomsly and Potts",195 East Foothills Parkway,Hotel-Restaurant,3015
3110355.76551416516304,1452153.906371772289276,12,Potts Clubhouse,1427 West Elizabeth Street,Brew Pub,3016
3117795.320529088377953,1439289.39075979590416,13,Chili's Hamburger Grill and Bar,3524 South College Avenue,Hotel-Restaurant,3017
3117361.200656682252884,1449340.219729155302048,14,Chuck E. Cheese's,105 West Prospect Road,Hotel-Restaurant,3018
3107168.57077519595623,1457848.329353079199791,15,City Park Liquor,2016 West LaPorte Avenue,Retail Liquor Store,3019
3111802.920107513666153,1449545.340065345168114,16,Prospect Liquors,"1115 West Prospect Avenue, Suite 105",Retail Liquor Store,3020
3117813.879873111844063,1457100.530008375644684,17,Coopersmith's Pub and Brewing,#5 Old Town Square,Brew Pub,3021
3112080.440219774842262,1448229.49984011054039,18,Creekside Liquors,1005 West Stuart Street #A3,Retail Liquor Store,3023
3117617.299888923764229,1456667.89963997900486,19,Crown Pub (The),134 South College Avenue,Hotel-Restaurant,3024
3128250.810106828808784,1434315.870515152812004,20,CIRCLE K #2741152,4502 Timberline Road,Fermented Malt Beverage (off-premises),3025
3118768.73064199090004,1458109.649369314312935,21,El Burrito,404 Linden Street,Hotel-Restaurant,3027
